fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,wage_geo_level,wage_year,wage_source
48305,TX,Lynn County,5752.0,915.0,0.1590751043115438,0.2546448087431694,0.12082753824756606,73679.0,15.2,7.5,8.0,16.0,40.0,43.71584699453552,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48313,TX,Madison County,13648.0,2109.0,0.15452813599062135,0.27927927927927926,0.11642731535756155,74596.0,13.1,6.7,7.6,14.8,234.0,110.95305832147938,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48315,TX,Marion County,9737.0,2618.0,0.26887131560028754,0.30863254392666156,0.21731539488548834,49672.0,18.1,10.1,11.2,17.4,208.0,79.44996180290298,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48317,TX,Martin County,5218.0,570.0,0.10923725565350709,0.22456140350877193,0.11996933691069375,93734.0,12.1,5.5,6.0,14.0,25.0,43.859649122807014,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48319,TX,Mason County,3955.0,1392.0,0.3519595448798989,0.23563218390804597,0.24829329962073324,74180.0,14.4,8.8,8.1,14.4,21.0,15.086206896551724,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48321,TX,Matagorda County,36329.0,6607.0,0.18186572710506757,0.2830331466626305,0.1732224944259407,58628.0,16.4,7.9,8.3,16.1,326.0,49.34160738610564,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48323,TX,Maverick County,58082.0,6975.0,0.12008883991598085,0.3250179211469534,0.1255982920698323,49568.0,17.8,6.6,5.7,17.4,1517.0,217.4910394265233,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48307,TX,McCulloch County,7514.0,1778.0,0.23662496672877295,0.3880764904386952,0.20042587170614853,54043.0,15.5,8.6,8.9,16.0,159.0,89.42632170978628,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48309,TX,McLennan County,266067.0,40771.0,0.15323583909316074,0.2411272718353732,0.13283496262219666,66643.0,12.5,6.2,6.8,13.9,3737.0,91.65828652718844,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
48311,TX,McMullen County,700.0,121.0,0.17285714285714285,0.14049586776859505,0.15,43875.0,17.8,9.5,9.1,17.0,12.0,99.17355371900827,34160,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
