fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,senior_share_score,living_alone_65_share_score,disability_share_score,diabetes_prev_score,chd_prev_score,copd_prev_score,poor_physical_health_prev_score,healthcare_support_per_1k_seniors_score,median_income_score,healthcare_support_wage_score,care_demand_score,access_constraint_score,care_gap_score,priority_tier,high_gap
39079,OH,Jackson County,32650.0,5857.0,0.1793874425727412,0.2967389448523134,0.2291271056661562,57106.0,14.9,8.4,10.5,16.9,597.0,101.92931534915486,39650,11.567116217930842,25.303333641015524,23.350527463929655,46.20253164556963,47.777777777777786,56.00000000000001,62.184873949579824,28.736652497573882,16.3453432826501,50.0,32.5739029307137,71.79123814153934,46.29997025450267,Develop,0
39067,OH,Harrison County,14306.0,3264.0,0.2281560184537956,0.3360906862745098,0.1692995945757025,54414.0,15.6,9.1,10.6,16.2,402.0,123.16176470588236,39650,18.318499711240705,30.598551717545085,14.144891663218074,50.63291139240506,55.55555555555556,56.8,56.30252100840336,34.72265874853879,14.244122513971714,50.0,33.927484813721954,69.12930093411215,46.248120455858526,Develop,0
39163,OH,Vinton County,12630.0,2477.0,0.1961203483768804,0.2321356479612434,0.2208234362628661,55336.0,15.4,8.9,11.4,17.1,287.0,115.86596689543804,39650,13.88357229646605,16.610235619486925,22.072845091005437,49.367088607594944,53.33333333333334,63.2,63.86554621848741,32.66577446894633,14.963782821817729,50.0,33.353594251182216,70.0446891955342,46.19547748170541,Develop,0
12035,FL,Flagler County,126528.0,39628.0,0.3131954982296409,0.1971838094276774,0.1631891755184623,77363.0,13.7,9.0,8.6,14.8,1641.0,41.41011406076511,39650,30.09112439149797,11.907073814645221,13.204683865744506,38.607594936708864,54.44444444444445,40.8,44.53781512605043,11.674639955864,32.156795404164974,50.0,29.788764393940557,76.43190940302532,46.11386514712022,Develop,0
29199,MO,Scotland County,4686.0,907.0,0.1935552710200597,0.2381477398015435,0.0977379428083653,68913.0,12.8,8.4,10.4,16.5,9.0,9.92282249173098,39650,13.52847025354112,17.41922999279708,3.1337282124862837,32.9113924050633,47.777777777777786,55.2,58.82352941176471,2.7975141475562517,25.561210153298575,50.0,26.09301766426268,83.2930041728545,46.11301294226982,Develop,0
12023,FL,Columbia County,71789.0,14552.0,0.2027051498140383,0.2352941176470588,0.2002256613130145,59205.0,15.1,8.9,10.1,16.7,1298.0,89.19736118746565,39650,14.795153553995075,17.03524313300618,18.90347349193168,47.46835443037975,53.33333333333334,52.800000000000004,60.50420168067227,25.14716755787605,17.98370226981798,50.0,31.44535850127457,73.27394716222278,46.08536453260644,Develop,0
48373,TX,Polk County,52800.0,10101.0,0.1913068181818182,0.2508662508662508,0.2102083333333333,62259.0,15.4,8.1,9.8,16.6,760.0,75.24007524007524,39650,13.21720081203408,19.13064827474361,20.439503342781887,49.367088607594944,44.44444444444444,50.4,59.66386554621851,21.212228186356423,20.367479471728746,50.0,30.64933797260223,74.72303065598535,46.07513041178632,Develop,0
17015,IL,Carroll County,15576.0,3768.0,0.2419106317411402,0.3187367303609342,0.145351823317925,60758.0,13.3,8.2,9.0,14.6,184.0,48.83227176220807,39650,20.222649410660452,28.26338235192636,10.460057438632974,36.07594936708862,45.55555555555555,44.0,42.85714285714286,13.767148533184947,19.195884979237565,50.0,28.236045971159363,79.16930281297701,46.06268586579554,Develop,0
17055,IL,Franklin County,37323.0,7835.0,0.2099241754414168,0.3457562220804084,0.2105672105672105,56740.0,13.9,8.4,10.2,16.0,826.0,105.42437779195916,39650,15.794535011787406,31.899157944080958,20.494723642808164,39.873417721519,47.777777777777786,53.599999999999994,54.6218487394958,29.722005872431232,16.05966467888476,50.0,32.41975659699989,71.33499736649739,46.040090866324014,Develop,0
17095,IL,Knox County,49046.0,10907.0,0.2223830689556742,0.3873659117997616,0.1431105492802675,57030.0,13.5,8.2,9.4,15.2,809.0,74.17254973869991,39650,17.519308936337033,37.4982082833482,10.115193476482332,37.34177215189874,45.55555555555555,47.2,47.89915966386555,20.91126364774221,16.28602204252396,50.0,29.827245909014938,76.1129983809846,46.027259274204326,Develop,0
